# Info for IR Remote control
# Chris Dodge - May 1994

Sat Clock 1726.000000
Sat Bias 10
Sat SignalNo 27
Sat SignalLen 150
Sat Repeat 1
Sat Pause 0
CD Bias 19
CD SignalNo 32
CD SignalLen 150
CD Repeat 1
CD Pause -60
CD Signal dOne 111111111111111100000000101000100010100010001010001000101010001010100010100010101010001010001010100010001000101000101000100000000000000000000000000000
CD Signal dTwo 111111111111111100000000101000100010100010001010001000101010001010100010101000101010001010001010001010001000101000101000100000000000000000000000000000
CD Signal dThree 111111111111111100000000101000100010100010001010001000101010001010100010100010001010100010100010101010001000101000101000100000000000000000000000000000
CD Signal dFour 111111111111111100000000101000100010100010001010001000101010001010100010101010001010001010001010001000101000101000101000100000000000000000000000000000
CD Signal dFive 111111111111111100000000101000100010100010001010001000101010001010100010100010100010100010100010101000101000101000101000100000000000000000000000000000
CD Signal dSix 111111111111111100000000101000100010100010001010001000101010001010100010101000100010100010100010100010101000101000101000100000000000000000000000000000
CD Signal Open/C 111111111111111100000000101000100010100010001010001000101010001010100010101010101000101010100010001000100010100010001000100000000000000000000000000000
CD Signal P 111111111111111100000000101000100010100010001010001000101010001010100010101010101000101000101000100010001000101000101000100000000000000000000000000000
CD Signal One 111111111111111100000000101000100010100010001010001000101010001010100010100010101010101010101000100010001000100010001000100000000000000000000000000000
CD Signal Two 111111111111111100000000101000100010100010001010001000101010001010100010101000101010101010100010100010001000100010001000100000000000000000000000000000
CD Signal Three 111111111111111100000000101000100010100010001010001000101010001010100010100010001010101010101010100010001000100010001000100000000000000000000000000000
CD Signal Four 111111111111111100000000101000100010100010001010001000101010001010100010101010001010101010100010001010001000100010001000100000000000000000000000000000
CD Signal Five 111111111111111100000000101000100010100010001010001000101010001010100010100010100010101010101010001010001000100010001000100000000000000000000000000000
CD Signal Six 111111111111111100000000101000100010100010001010001000101010001010100010101000100010101010101000101010001000100010001000100000000000000000000000000000
CD Signal Seven 111111111111111100000000101000100010100010001010001000101010001010100010100010001000101010101010101010001000100010001000100000000000000000000000000000
CD Signal Eight 111111111111111100000000101000100010100010001010001000101010001010100010101010100010101010100010001000101000100010001000100000000000000000000000000000
CD Signal Nine 111111111111111100000000101000100010100010001010001000101010001010100010100010101000101010101010001000101000100010001000100000000000000000000000000000
CD Signal Zero 111111111111111100000000101000100010100010001010001000101010001010100010101010101010101010001000100010001000100010001000100000000000000000000000000000
CD Signal +Ten 111111111111111100000000101000100010100010001010001000101010001010100010101000101000101010101000101000101000100010001000100000000000000000000000000000
CD Signal P-Mode 111111111111111100000000101000100010100010001010001000101010001010100010100010001000100010001010101010101010100010001000100000000000000000000000000000
CD Signal T-Disp 111111111111111100000000101000100010100010001010001000101010001010100010101010100010001010101000100010001010100010001000100000000000000000000000000000
CD Signal Repeat 111111111111111100000000101000100010100010001010001000101010001010100010100010101000100010101010100010001010100010001000100000000000000000000000000000
CD Signal Check 111111111111111100000000101000100010100010001010001000101010001010100010100010001010001000101010101010001010100010001000100000000000000000000000000000
CD Signal Clear 111111111111111100000000101000100010100010001010001000101010001010100010101000101000100010101010001010001010100010001000100000000000000000000000000000
CD Signal p/p 111111111111111100000000101000100010100010001010001000101010001010100010100010001010100010101010101000100010100010001000100000000000000000000000000000
CD Signal bt 111111111111111100000000101000100010100010001010001000101010001010100010101000100010100010101010001010100010100010001000100000000000000000000000000000
CD Signal ft 111111111111111100000000101000100010100010001010001000101010001010100010100010001000101000101010101010100010100010001000100000000000000000000000000000
CD Signal Edit-1 111111111111111100000000101000100010100010001010001000101010001010100010101000101000101010001010001010001010001000101000100000000000000000000000000000
CD Signal Stop 111111111111111100000000101000100010100010001010001000101010001010100010100010101010001010101010001000100010100010001000100000000000000000000000000000
CD Signal bs 111111111111111100000000101000100010100010001010001000101010001010100010101010001010001010101000100010100010100010001000100000000000000000000000000000
CD Signal fs 111111111111111100000000101000100010100010001010001000101010001010100010100010100010100010101010100010100010100010001000100000000000000000000000000000
CD Signal Edit-2 111111111111111100000000101000100010100010001010001000101010001010100010101000100010001010101000100010101010001000100010100000000000000000000000000000

Amp Clock 1741.000000
Amp Bias 9
Amp SignalNo 15
Amp SignalLen 230
Amp Repeat 1
Amp Pause 0
Amp Signal Power 1111111111111111100000000101000101010001010001000100010100010001010001000101010100010101010101000100010100010001000100010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Speak_A 1111111111111111000000001010001010100010100010001000101000100010100010001010001010100010001010001010100010001010100010100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Speak_B 1111111111111111000000001010001010100010100010001000101000100010100010001010100010100010001010001010001010001010100010100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal SourceD 1111111111111111000000001010001010100010100010001000101000100010100010001010101000101010100010100010001010001000100010100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Aux 1111111111111111000000001010001010100010100010001000101000100010100010001010100010001010101010100010101000100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Tuner 1111111111111111000000001010001010100010100010001000101000100010100010001010001000101000101010101010100010100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Phono 1111111111111111000000001010001010100010100010001000101000100010100010001010100010100010101010100010100010100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal CD 1111111111111111000000001010001010100010100010001000101000100010100010001010001010100010101010101000100010100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Tape-1 1111111111111111000000001010001010100010100010001000101000100010100010001010101010001010101010001000100010100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Tape-2 1111111111111111000000001010001010100010100010001000101000100010100010001010001000100010101010101010101000100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Video-1 1111111111111111000000001010001010100010100010001000101000100010100010001010100010001000101010101000101010100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Video-2 1111111111111111000000001010001010100010100010001000101000100010100010001010001010001000101010101010001010100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Mute 11111111111111110000000010100010101000101000100010001010001000101000100010100010100010101010101010001010001000100010001000100000000000000000000000000000000000000000000000000000000000000000000011111111111111110000100000000000000000
Amp Signal Vol_Up 1111111111111111000000001010001010100010100010001000101000100010100010001010100010101010101010001010001000100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amp Signal Vol_Dn 1111111111111111000000001010001010100010100010001000101000100010100010001010001000101010101010101010001000100010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000

Video Clock 1119.000000
Video Bias 15
Video SignalNo 20
Video SignalLen 200
Video Repeat 1
Video Pause 0
Video Signal Standby 10101101001100110100101101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110100110011010010110100000000000000000000000000000000000000000000
Video Signal Stop 10110101001100101011001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010100110010101100101100000000000000000000000000000000000000000000
Video Signal Play 10101101001100101011001100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110100110010101100110010000000000000000000000000000000000000000000
Video Signal FFwd 10110101001100101100101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010100110010110010101100000000000000000000000000000000000000000000
Video Signal Rewind 10101101001100101100101101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110100110010110010110100000000000000000000000000000000000000000000
Video Signal Eject 10110101001100101100101100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010100110010110010110010000000000000000000000000000000000000000000
Video Signal Jog_On 10101101001100101100110100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110100110010110011010010000000000000000000000000000000000000000000
Video Signal Slow_Fwd 10110101001100101100110101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010100110010110011010100000000000000000000000000000000000000000000
Video Signal Slow_Bk 10101101001100101101010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110100110010110101001100000000000000000000000000000000000000000000
Video Signal Stil_Fwd 1011010011010010110011010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Video Signal Stil_Bk 10110100110100101100110100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Video Signal Prog+ 10101101001100101101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110100110010110101010100000000000000000000000000000000000000000000
Video Signal Prog- 10101101001100101101010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110100110010110101010010000000000000000000000000000000000000000000
Video Signal Sp/Lp 10110101001100101010110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010100110010101011001100000000000000000000000000000000000000000000
Video Signal RecMode 10101101001100110010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110100110011001010101100000000000000000000000000000000000000000000
Video Signal Tuner 11010101001100101010101100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101010100110010101010110010000000000000000000000000000000000000000000
Video Signal Audio 10101101001100101101010010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010110100110010110101001010000000000000000000000000000000000000000000
Video Signal Go_To 10110101001100101011010010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010100110010101101001010000000000000000000000000000000000000000000
Video Signal Repeat 11010101001100101010110101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101010100110010101011010100000000000000000000000000000000000000000000
Video Signal Index 11010101001100101011010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101010100110010101101010100000000000000000000000000000000000000000000







